date,bitcoin_price,ethereum_price,cardano_price,binancecoin_price,solana_price,ripple_price,polkadot_price,dogecoin_price,avalanche-2_price,shiba-inu_price
2023-01-02,16615.969318012816,1200.65921690107,0.24993772427992364,244.06456734303708,9.973949402565085,0.33906591377275835,4.370398234173801,0.07026603608580245,10.862361279595003,8.14405670513832e-06
2023-01-03,16674.342536301097,1214.3789459253508,0.25394846335971893,245.42975628242627,11.266377430112355,0.34857042266522625,4.488836626124295,0.07142588601923544,11.153299074006373,8.203776169526574e-06
2023-01-04,16677.646185850346,1214.760969419338,0.2531435084634493,246.21147125205005,13.35539239265287,0.34381782927835675,4.527619435836773,0.0705441315157486,11.385008261253798,8.154118722559951e-06
2023-01-05,16855.1747387671,1256.4366037834864,0.26794792110359367,259.12811648835725,13.456292702243212,0.34814888508317116,4.632589621042435,0.07325589249072376,12.082606200302077,8.381792161952769e-06
2023-01-06,16832.098988497855,1250.7922522355914,0.269366459596555,256.4740131558113,13.4384801751579,0.33841798005536067,4.618387481116268,0.07153674086579997,11.74568496014289,8.408074131044912e-06
2023-01-07,16960.23206247515,1270.028610178057,0.27887811860425876,259.80063819702076,13.52449342211224,0.34511953355311,4.6874963649585375,0.07260003392516991,11.784937001692171,8.456302355246702e-06
2023-01-08,16950.861521853905,1264.8369433837202,0.2774524659918043,261.3192647814156,13.088904148424348,0.3447533324613407,4.667867731193827,0.0723263902999309,11.747206074004959,8.433076139843678e-06
2023-01-09,17074.61539572674,1284.5754041342987,0.29361520471369507,273.53602879922215,14.366071146091024,0.3452258121803157,4.78165995093069,0.07335357103463645,12.026260444541693,8.645041076579883e-06
2023-01-10,17194.90932945318,1321.676571173056,0.31717078990552633,272.72570123838176,16.302299779948743,0.34968537233821834,4.889549960346178,0.0759400136350239,12.211384121023688,8.676909171059162e-06
2023-01-11,17436.90232978116,1336.017071771777,0.32265846715714724,277.09901135735623,16.203193608411635,0.3516250959148819,4.9156673678489025,0.07764176087036927,12.729321160649132,9.23702094433608e-06
2023-01-12,17996.832553741606,1389.7716620941067,0.3234089195684316,285.4685940120304,16.463404027248835,0.37516804184533054,5.133530065782115,0.07830178217607052,15.92176476995798,9.14824664792673e-06
2023-01-13,18866.810330617045,1417.134908743914,0.33002479917155986,287.38588820938793,16.615747688335087,0.3757077587246529,5.227868294639788,0.08030954001710083,15.415597415850824,9.488309732713149e-06
2023-01-14,19941.780543296303,1453.3769102089225,0.3453714599228635,294.1442843030924,18.279734593696567,0.38668543486765117,5.404097385583974,0.08431574235527423,15.953889852104112,1.0215885807946331e-05
2023-01-15,21019.20661402266,1549.111474081304,0.3519119190637228,305.80593437211155,24.302862020252288,0.39578014157846464,6.028214515143082,0.08755368193914007,17.003317606116955,1.0433432842583458e-05
2023-01-16,20853.230569490253,1551.324517175301,0.35045732196034823,301.70933600413946,22.837523286781188,0.3846604814430939,5.934370777642712,0.08613572017113917,16.770235425063305,1.068432145091061e-05
2023-01-17,21175.33773662521,1577.725890482971,0.3502826492228772,298.8973192510195,23.58595194500377,0.38721874514522614,5.810048234064627,0.0836854473094544,16.7378601813918,1.052052844089235e-05
2023-01-18,21156.78393116713,1569.5308332272923,0.3465310982996337,300.1861465904951,22.88158744195828,0.38834608969729184,5.963397654520307,0.08308086925786921,17.155077874482156,1.0554539409962858e-05
2023-01-19,20726.844969426445,1516.555475473704,0.32785588752130307,287.7064487280841,20.85763434507722,0.3797679869684619,5.655251045120312,0.08036920992155762,15.820540897837352,1.1185432951370248e-05
2023-01-20,21081.671022204326,1550.5088875585636,0.33953796071519227,294.75015635498556,21.414560030848286,0.3941963457659705,5.801379267235778,0.08172346704915538,16.202449974789992,1.1562224699090511e-05
2023-01-21,22705.83367889906,1661.3349193405402,0.3636230849781876,304.9491185578326,25.575834872318875,0.4135995980254182,6.254683210538306,0.08646605529214253,17.515338456352886,1.2251134346305267e-05
2023-01-22,22771.023287021784,1625.9093109886562,0.36933689795524227,298.95597595248256,24.66528659481628,0.4042373402682552,6.246217001006929,0.08470890347719745,16.89195623249759,1.1884829132561403e-05
2023-01-23,22736.66142892971,1630.8448549407967,0.37754569585448855,303.1682033719517,24.271834895555187,0.4023071714072539,6.212167847018589,0.08849955763370708,17.386182691226722,1.204124957829573e-05
2023-01-24,22984.87497643721,1632.9617267135266,0.3764909874045472,306.08614395630946,24.42662802224712,0.42666931243794043,6.589296753282481,0.08890819642040093,18.054756252801276,1.2060383899683359e-05
2023-01-25,22610.010598272846,1557.0597608721732,0.359068699526837,300.5596006860807,22.789340075999174,0.40877294153604227,6.186292457598319,0.08405955432364835,16.999768570821203,1.121112588927452e-05
2023-01-26,23180.422697874263,1614.6771850629295,0.3742839180589751,307.0870836154322,24.66040314512689,0.4186592896798123,6.421232137004184,0.08704363728732702,17.844860737884833,1.1690313402699165e-05
2023-01-27,23024.74618081709,1602.8469492523193,0.3807430116028526,304.8876268040751,24.36322901881959,0.41111588524277953,6.468366037302892,0.08666369477386718,18.112112249870727,1.1638873164519513e-05
2023-01-28,23082.858382122955,1598.4701935450053,0.38988860471453446,308.46491509629993,24.413747574727985,0.41400159754098326,6.569930587254382,0.08737781712894238,21.42886713268113,1.1748669135915356e-05
2023-01-29,23022.23299135344,1573.0634394330648,0.3826326737967218,305.9476086163142,23.986175814200923,0.4096758453041082,6.389057965845566,0.08802539805783612,20.56093228938241,1.180805801447109e-05
